bio_url,bio,name,voice_model,advanced_voice_model,fallout4_voice_folder,race,gender,species,refid_int,baseid_int,author and notes,base_id,ref_id
/wiki/Blake_Abernathy,Blake Abernathy is a man living and farming at Abernathy farm in 2287.,Blake Abernathy,MaleBoston,,MaleBoston,Human,Male,,447394,439507,YetAnotherModder,06B4D3,06D3A2
/wiki/Connie_Abernathy,Connie Abernathy is a merchant living at Abernathy farm in 2287.,Connie Abernathy,FemaleBoston,,FemaleBoston,Human,Female,,447395,439505,YetAnotherModder,06B4D1,06D3A3
/wiki/Lucy_Abernathy,Lucy Abernathy is a young woman living at Abernathy farm in 2287.,Lucy Abernathy,FemaleEvenToned,,FemaleEvenToned,Human,Female,,447396,439506,YetAnotherModder,06B4D2,06D3A4
/wiki/Maisie,Maisie is a house cat found at Abernathy farm in 2287.,Maisie,femaleghoul,,crcat,House cat,Female,,1080044,1080041,YetAnotherModder,107AE9,107AEC
/wiki/Clarabell_(Fallout_4),Clarabell is a brahmin found on the Abernathy farm in 2287.,Clarabell,femaleboston,,CrBrahminVoice,Brahmin,Female,,1080044,1080041,YetAnotherModder,107AE9,107AEC
/wiki/Chancer,Chancer is a raider living in the Commonwealth in 2287.,Chancer,FemaleRaider01,,RaiderFemale01,Human,Female,,640900,713029,YetAnotherModder,0AE145,09C784
/wiki/Eddie_Winter,Edward L.,Eddie Winter,MaleRaider01,,NPCMEddieWinter,Human(pre-War)Ghoul,Male,,1359652,616902,YetAnotherModder,0969C6,14BF24
/wiki/Bluejay,Bluejay is a member of the Atom Cats in the year 2287.,Bluejay,MaleEvenToned,,MaleEvenToned,Human,Male,,296509,296507,YetAnotherModder,04863B,04863D
/wiki/Duke_(Fallout_4),Duke is a power armor-wearing member of the Atom Cats living in the Commonwealth in 2287.,Duke,MaleEvenToned,,MaleEvenToned,Human,Male,,296508,1140842,YetAnotherModder,11686A,04863C
/wiki/Johnny_D.,Johnny D.,Johnny D.,MaleEvenToned,,MaleEvenToned,Human,Male,,1139960,1139958,YetAnotherModder,1164F6,1164F8
/wiki/Peepers,Peepers is a named Eyebot found in the Commonwealth in 2287.,Peepers,robot_assaultron,,dlc01robotcompanionmaledefault,Eyebot,Male,,766458,766457,YetAnotherModder,0BB1F9,0BB1FA
/wiki/Rowdy,Rowdy is a power armor merchant and member of the Atom Cats in 2287.,Rowdy,TinaDeLuca,,NPCFRowdy,Human,Female,,1140828,121686,YetAnotherModder,01DB56,11685C
/wiki/Roxy,Roxy is the newest member of the Atom Cats.,Roxy,FemaleEvenToned,,FemaleEvenToned,Human,Female,,2393972,1139959,YetAnotherModder,1164F7,248774
/wiki/Zeke_(Fallout_4),Zeke is the founder of the Atom Cats living in the Commonwealth in 2287.,Zeke,maleboston,,NPCMZeke,Human,Male,,1140827,296482,YetAnotherModder,48622,11685B
/wiki/Dutchman,Dutchman is a dead Railroad agent located in the Commonwealth in 2287.,Dutchman,maleboston,,NPCMDutchman,Human,Male,,584771,253814,YetAnotherModder,03DF76,08EC43
/wiki/Helena_(Fallout_4),Helena is a deceased woman whose body may be found at Bedford Station in 2287.,Helena,FemaleEvenToned,,FemaleEvenToned,Human,Female,,885960,253813,YetAnotherModder,03DF75,0D84C8
/wiki/Gavil,Knight Sergeant Gavil is a Brotherhood soldier at the Boston Airport.,Knight Sergeant Gavil,knight_gavil,,NPCMBosKnightGavil,Human,Male,,770277,730863,YetAnotherModder,0B26EF,0BC0E5
/wiki/Lucia,Knight Lucia is a Brotherhood soldier at the Boston Airport.,Knight Lucia,knight_lucia,,NPCFBoSKnightLucia,Human,Female,,770279,730864,YetAnotherModder,0B26F0,0BC0E7
/wiki/Rylan,Knight Rylan is a deceased member of the Brotherhood of Steel.,Knight Rylan,MaleBoS01,,BoSMale01,Human,Male,,801068,801067,YetAnotherModder,0C392B,0C392C
/wiki/D._Clarke,Initiate D.,Initiate Clarke,initiate_clarke,,NPCMBoSInitiateClarke,Human,Male,,770278,730862,YetAnotherModder,0B26EE,0BC0E6
/wiki/Liberty_Prime,Liberty Prime or Liberty Prime Mark II is a unique U.,Liberty Prime,robot_assaultron,,RobotLibertyPrime,Robot,,,1137488,1259506,YetAnotherModder,1337F2,115B50
/wiki/Givens,"Along with Dalen, Shelby and a number of other people, Givens was part of a team whose goal was to retrieve and preserve any surviving books in Boston Public Library.",Curator Givens,MaleEvenToned,,MaleEvenToned,Human,Male,,1047670,591967,YetAnotherModder,09085F,0FFC76
/wiki/Dalen,Dalen is a dead man found in the Boston Public Library in 2287.,Dalen,MaleEvenToned,,MaleEvenToned,Human,Male,,1054128,1054129,YetAnotherModder,1015B1,1015B0
/wiki/Cricket,Cricket is a traveling merchant operating in the Commonwealth in 2287.,Cricket,TinaDeLuca,,NPCFCricket,Human,Female,,1244368,1244366,YetAnotherModder,12FCCE,12FCD0
/wiki/Deb,"Deb grew up with caravans, feeling at home in Bunker Hill,[1] and she uses her skills in machining and construction to produce wares for her shop, stating there is ""no such thing as junk.",Deb,FemaleBoston,,FemaleBoston,Human,Female,,104829,104824,YetAnotherModder,19978,01997D
/wiki/Weathers_(Fallout_4),Doc Weathers is a traveling doctor and caravaneer operating out of Bunker Hill.,Doc Weathers,maleboston,,NPCMDocWeathers,Human,Male,,1244364,1244363,YetAnotherModder,12FCCB,12FCCC
/wiki/Edward_Deegan,Edward Deegan is a ghoul and an associate of the Cabot family in 2287.,Edward Deegan,maleghoul,,NPCMEdwardDeegan,Ghoul,Male,,294593,294592,YetAnotherModder,047EC0,047EC1
/wiki/Joe_Savoldi,Joe Savoldi is the bartender in Bunker Hill in 2287.,Joe Savoldi,MaleBoston,,MaleBoston,Human,Male,,104836,104835,YetAnotherModder,19983,19984
/wiki/Kay,Kay is a doctor and a merchant at Bunker Hill in 2287.,Kay,FemaleEvenToned,,FemaleEvenToned,Human,Female,,104828,104826,YetAnotherModder,01997A,01997C
/wiki/Kessler,Kessler oversees the caravans and merchants of Bunker Hill and ensures that trade can continue to flow through the settlement.,Kessler,FemaleRough,,FemaleRough,Human,Female,,104798,104796,YetAnotherModder,01995C,01995E
/wiki/Meg,She can be located wandering around on Bunker Hill.,Meg,femaleboston,,FemaleChild,Human,Female,,117979,104831,YetAnotherModder,01997F,01CCDB
/wiki/Old_Man_Stockton,Old Man Stockton is a Bunker Hill-based caravan boss and Railroad operative in the Commonwealth in 2287.,Old Man Stockton,maleold,,NPCMOldManStockton,Human,Male,,237544,237515,YetAnotherModder,039FCB,039FE8
/wiki/Tony_Savoldi,Tony Savoldi is the innkeeper of Bunker Hill in 2287.,Tony Savoldi,MaleEvenToned,,MaleEvenToned,Human,Male,,392495,392494,YetAnotherModder,05FD2E,05FD2F
/wiki/Trashcan_Carla,Trashcan Carla is a local caravan merchant traveling the Commonwealth in 2287.,Trashcan Carla,FemaleOld,,FemaleOld,Human,Female,,903481,903478,YetAnotherModder,0DC936,0DC939
/wiki/B2-57,B2-57 is an escaped synth in the Commonwealth in 2287.,B2-57,femaleeventoned,,SynthGen3Female01,Synth,Female,,876622,876617,YetAnotherModder,0D6049,0D604E
/wiki/F6-33,F6-33 is an escaped synth in the Commonwealth in 2287.,F6-33,MaleEvenToned,,SynthGen3Male01,Synth,Male,,876624,876623,YetAnotherModder,0D604F,0D6050
/wiki/X4-18,X4-18 is an Institute courser in the Commonwealth in 2287.,X4-18,institutecoursermale,,SynthGen3Male01,Synth,Male,,979491,979490,YetAnotherModder,0EF222,0EF223
/wiki/Y9-15,Y9-15 is an escaped synth in the Commonwealth in 2287.,Y9-15,MaleEvenToned,,SynthGen3Male02,Synth,Male,,876626,876625,YetAnotherModder,0D6051,0D6052
/wiki/Z3-22,Z3-22 is an escaped synth in the Commonwealth in 2287.,Z3-22,MaleEvenToned,,SynthGen3Male01,Synth,Male,,876628,876627,YetAnotherModder,0D6053,0D6054
/wiki/Jack_Cabot,Jack Cabot is a member of the Cabot family living in the Cabot House in Boston in 2287.,Jack Cabot,JackCabot,,NPCMJackCabot,Human,Male,,294594,294583,YetAnotherModder,047EB7,047EC2
/wiki/Wilhelmina_Cabot,Wilhelmina Cabot is the matriarch of the Cabot family living in the Cabot House in Boston in 2287.,Wilhelmina Cabot,femaleboston,,NPCFWilhelminaCabot,Human,Female,,294595,294591,YetAnotherModder,047EBF,047EC3
/wiki/H2-22,H2-22 is a synth living in the Commonwealth in 2287.,H2-22,Deacon,,NPCMH2-22,Synth,Male,,392960,392957,YetAnotherModder,05FEFD,05FF00
/wiki/High_Rise,"High Rise grew up with a troubled past, though it is never said why or what he did.",High Rise,maleboston,,NPCMLowRoadFranklin,Human,Male,,511403,511352,YetAnotherModder,07CD78,07CDAB
/wiki/Rhys,Knight L.,Knight Rhys,knight_rhys,,NPCMKnightRhys,Human,Male,,384588,384576,YetAnotherModder,05DE40,05DE4C
/wiki/Danse,"Paladin Danse (unit designation M7-97,[1] registration DN-407P) is the commanding officer of Recon Squad Gladius, a Brotherhood of Steel unit deployed to the Commonwealth in 2287.",Paladin Danse,danse,,NPCMPaladinDanse,Synth,Male,,384589,161411,YetAnotherModder,27683,05DE4D
/wiki/Haylen,"Scribe Haylen, registration HN-118FS,[1] is a field scribe of the Brotherhood of Steel, stationed at the Cambridge Police Station in Fallout.",Scribe Haylen,ScribeHaylen,,NPCFScribeHaylen,Human,Female,,384587,384575,YetAnotherModder,05DE3F,05DE4B
/wiki/Jon_Elwood,Jon Elwood (known in-game as the Director) is a feral ghoul in the Commonwealth in 2287.,Director,maleghoul,,maleghoul,Feral ghoul,Male,,167855,167854,YetAnotherModder,028FAE,028FAF
/wiki/Molly_(Fallout_4),Molly is a Miss Nanny robot at the Cambridge Polymer Labs in 2287.,Molly,robotcompanionfemaledefault,,RobotMolly,Miss Nanny,Female,,167853,167852,YetAnotherModder,028FAC,028FAD
/wiki/Wilfred_Bergman,"Doctor Wilfred ""Wil"" Bergman was a CIT graduate and security administrator, co-owner of Cambridge Polymer Labs, LLC, and a veteran of the U.",Feral Ghoul,maleghoul,,maleghoul,Feral ghoul,Male,,667250,1769927,YetAnotherModder,1B01C7,0A2E72
/wiki/Thomas_(Fallout_4),"Brother Thomas (named Brother Andrew, Brother Simon, Brother James or Brother Matthew before Emogene Takes a Lover) is the leader of the ""Pillars of the Community"" cult located at the Charles View Amphitheater in Boston in 2287.",Brother Andrew,maleboston,,NPCMDN019CultLeader,Human,Male,,337157,807313,YetAnotherModder,0C5191,52505
/wiki/Thomas_(Fallout_4),"Brother Thomas (named Brother Andrew, Brother Simon, Brother James or Brother Matthew before Emogene Takes a Lover) is the leader of the ""Pillars of the Community"" cult located at the Charles View Amphitheater in Boston in 2287.",Brother James,maleboston,,NPCMDN019CultLeader,Human,Male,,337157,807315,YetAnotherModder,0C5193,52505
/wiki/Thomas_(Fallout_4),"Brother Thomas (named Brother Andrew, Brother Simon, Brother James or Brother Matthew before Emogene Takes a Lover) is the leader of the ""Pillars of the Community"" cult located at the Charles View Amphitheater in Boston in 2287.",Brother Matthew,maleboston,,NPCMDN019CultLeader,Human,Male,,337157,807314,YetAnotherModder,0C5192,52505
/wiki/Thomas_(Fallout_4),"Brother Thomas (named Brother Andrew, Brother Simon, Brother James or Brother Matthew before Emogene Takes a Lover) is the leader of the ""Pillars of the Community"" cult located at the Charles View Amphitheater in Boston in 2287.",Brother Simon,maleboston,,NPCMDN019CultLeader,Human,Male,,337157,807316,YetAnotherModder,0C5194,52505
/wiki/Thomas_(Fallout_4),"Brother Thomas (named Brother Andrew, Brother Simon, Brother James or Brother Matthew before Emogene Takes a Lover) is the leader of the ""Pillars of the Community"" cult located at the Charles View Amphitheater in Boston in 2287.",Brother Thomas,maleboston,,NPCMDN019CultLeader,Human,Male,,780631,780630,YetAnotherModder,0BE956,0BE957
/wiki/Emogene_Cabot,Emogene Cabot is a member of the Cabot family living in Boston in 2287.,Emogene Cabot,femaleboston,,NPCFEmogeneCabot,Human,Female,,294596,294590,YetAnotherModder,047EBE,047EC4
/wiki/Cait,"Cait is a cage fighter trapped in the Combat Zone in Fallout, fighting for the amusement of the raiders that have occupied the arena.",Cait,Cait,,NPCFCait,Human,Female,,496389,496201,YetAnotherModder,79249,79305
/wiki/Tommy_Lonegan,"Tommy Lonegan is the proprietor of the Combat Zone arena, living in the Commonwealth in 2287.",Tommy Lonegan,maleghoul,,NPCMTommyLonegan,Ghoul,Male,,132941,132940,YetAnotherModder,02074C,02074D
/wiki/Gristle,"Gristle is one of the top lieutenants of Jared, the leader of a raider gang headquartered in the Corvega assembly plant in Lexington.",Raider Veteran,MaleRaider01,,RaiderMale01,Human,Male,,4836,103783,YetAnotherModder,19567,120000
/wiki/Jun_Long,Jun Long is a settler traveling with Preston Garvey and his group in the Commonwealth in 2287.,Jun Long,maleeventoned,,NPCMJunLong,Human,Male,,107739,106459,YetAnotherModder,019FDB,01A4DB
/wiki/Mama_Murphy,"Mama Murphy is a chem-addicted fortune teller, traveling with Preston Garvey and his group of settlers in the Commonwealth in 2287.",Mama Murphy,femaleold,,NPCFMamaMurphy,Human(psychic),Female,,107737,106456,YetAnotherModder,019FD8,01A4D9
/wiki/Marcy_Long,Marcy Long is a settler traveling with Preston Garvey and his group in the Commonwealth in 2287.,Marcy Long,femaleboston,,NPCFMarcyLong,Human,Female,,107738,106460,YetAnotherModder,019FDC,01A4DA
/wiki/Preston_Garvey,"Preston Garvey is one of the last surviving members of the Commonwealth Minutemen, a volunteer defense militia operating in the Commonwealth in 2287.",Preston Garvey,Preston,,NPCMPrestonGarvey,Human,Male,,107735,106457,YetAnotherModder,019FD9,01A4D7
/wiki/Sturges,Sturges is a handyman from Quincy traveling with Preston Garvey's group in the Commonwealth in 2287.,Sturges,Sturges,,NPCMSturges,Synth,Male,,107736,106458,YetAnotherModder,019FDA,01A4D8
