"﻿name,voice_model",bio,,bio_url,advanced_voice_model,skyrim_voice_folder,race,gender,species,ref_id,base_id,author,voice_accent,note
"Drelas,MaleElfHaughty",Drelas is a Dunmer mage who resides in his cottage in the mountains of northern Whiterun Hold.,,/wiki/Drelas,DunmerMaleHaughty,MaleElfHaughty,Dunmer,Male,Elf,0DFA75,0E76C9,,cs,Shawn - not started. Fixed voice model
"East Empire Dockworker,MaleBrute",He is an employee of the East Empire Company who works at the East Empire Company Warehouse in Solitude.,,/wiki/East_Empire_Dockworker,MaleBrute,MaleBrute,Nord,Male,Human,07E5EE,07E5EB,,en,Shawn - started
"Elle,FemaleSultry","Name: Elle

I am a woman once defined by the arcane, now cloaked in the remnants of frost magic that once flowed through my veins.",,NordFemaleSultry,FemaleSultry,Nord,Female,Human,,,,en,
"Fauna,FemaleYoungEager","I'm Fauna, part human, part Bosmer, and uniquely Deer.",,Fauna,FemaleYoungEager,Beast,Female,Beast,,,,pl,
"Gunjar,MaleCommonerAccented","Gunjar, a Nord man, is a carriage driver.",,/wiki/Gunjar_(Hearthfire),MaleCommonerAccented,MaleCommonerAccented,Nord,Male,Human,3139,0032B0,,en,Shawn - started
"Jade,FemaleSultry","Name: Jade

I am a Nord woman who has found a new purpose in life, serving customers at Candlehearth Hall in Windhelm.",,NordFemaleSultry,FemaleSultry,Nord,Female,Human,,,,en,
"Katana,",Katana is,,,,,Female,Human,,,,,Custom voiced
"Lia,FemaleSultry","Name: Lia

I am a warrior, or at least I used to be.",,NordFemaleSultry,FemaleSultry,Nord,Female,Human,,,,en,
"Louisa,FemaleSultry","Name: Louisa

I am Louisa, a seasoned combat archer whose arrows have flown in many a skirmish across the breadth of Skyrim.",,NordFemaleSultry,FemaleSultry,Nord,Female,Human,,,,en,LLM - Done
"Love,FemaleCommander",Love isn't your typical Nord.,,NordFemaleCommander,FemaleCommander,Nord,Female,Human,,,,en,
"Megara,",Megara is,,,,,Female,Human,,,,,Custom voiced
"Selena,FemaleSultry","Joining the adventuring group in Morthal, Selena is an expert in Conjuration and Healing.",,NordFemaleSultry,FemaleSultry,Nord,Female,Human,,,,en,
"Stalleo's Bodyguard,Male Nord",Stalleo's Bodyguard is a mercenary who is sitting alongside Stalleo at his camp near Treva's Watch.,,/wiki/Stalleo%27s_Bodyguard,Male Nord,MaleNord,Nord,Male,Human,04B4AD,04B4B1,,en,Shawn - started
"Urchin,MaleChild",Urchin: An orphaned Breton boy surviving the harsh realities of Skyrim's streets.,,BretonMaleChild,MaleChild,Breton,Male,Human,032EF5,,,fr,
